"","Culture","PromLong","PromLat","Dated_Mean"
"1","Adygei_0",39,44,0
"2","Albanian_0",19.83,41.33,0
"3","Austria_EN_HG_LBK_0",16.29,48.12,7366
"4","Austria_EN_LBK_0",16.4766666666667,48.5466666666667,6992.77777777778
"5","Austria_Krems1_0",15.59,48.41,30850
"6","Austria_KremsWA3_0",15.59,48.41,30950
"7","Basque_0",0,43,0
"8","Belgium_UP_1",4.645,50.355,35208
"9","Belgium_UP_2",5.01,50.45,15077
"10","Belgium_UP_3",4.28,50.26,27505
"11","Belgium_UP_4",4.28,50.26,28051
"12","Belgium_UP_5",4.28,50.26,26300
"13","Bergamo_0",10,46,0
"14","Bulgaria_0",26.3272727272727,43.8018181818182,7789.54545454545
"15","Bulgaria_1",26.2691666666667,42.9416666666667,6387.16666666667
"16","Bulgaria_10",27.86,43.21,6513.8
"17","Bulgaria_2",24.74,42.16,0
"18","Bulgaria_3",25.61,43.14,7293
"19","Bulgaria_4",25.88,43.16,7701
"20","Bulgaria_5",25.2775,42.6825,7821.25
"21","Bulgaria_6",25.88,43.16,2592
"22","Bulgaria_7",25.5,42.13,3639
"23","Bulgaria_8",25.9,42.43,4450
"24","Bulgaria_9",26.1457142857143,42.7757142857143,4992.28571428571
"25","Creta_0",25.31,35.165,0
"26","Crimea_0",36.47,45.35,1604
"27","Croatia_0",16.46,43.35,7563.5
"28","Croatia_1",17.34,43.19,3513.5
"29","Croatia_3",18.7333333333333,45.48,6720
"30","Croatia_4",17.64,45.49,5421
"31","Croatia_5",16.71,42.97,9056
"32","Croatia_6",18.94,45.34,4731.33333333333
"33","Croatia_7",15.98,43.89,2722
"34","Croatia_8",18.7,45.34,6635
"35","Croatia_9",18.7,45.34,7681
"36","Czech.DG_0",14.4,50.1,0
"37","Czech_BA_0",13.78,50.55,3022
"38","Czech_Baalberge_0",13.78,50.55,5550
"39","Czech_BellBeaker_0",14.2670454545455,50.2247727272727,4179
"40","Czech_CordedWare_0",14.0542857142857,50.3857142857143,4359
"41","Czech_EarlySlav_0",14.16,50.19,1214.5
"42","Czech_EBA_0",15.20625,49.675625,4136.0625
"43","Czech_Eneolithic_0",14.16,50.19,5417
"44","Czech_IA_0",14.05,50.51,2629.5
"45","Czech_Megalithic_0",15.2,50.03,6634.5
"46","Czech_MN_0",14.37,50.05,6438
"47","Czech_N_0",14.46,50.12,6358
"48","Czech_Pav_0",16.39,48.53,30350
"49","Czech_Unetice_0",14.31,50.16,4150
"50","Czech_Vestonice_0",16.39,48.53,29800
"51","Czech_Vestonice_1",16.39,48.53,30800
"52","Denmark_BA_0",10.88,56.26,3340.5
"53","Denmark_EarlyViking_0",12.01,55.63,1138.33333333333
"54","Denmark_IA_0",11.6375,55.77,1740.25
"55","Denmark_LBA_0",11.57,55.91,2612
"56","Denmark_LN_0",11.09,56.17,4030.5
"57","Denmark_LN_BA_0",12.12,55.73,3838
"58","Denmark_MN_B_0",11.86,55.7,4569
"59","Denmark_Viking_0",10.5334615384615,55.3288461538462,1031.75641025641
"60","England_BellBeaker_0",-1.01416666666667,52.4683333333333,4092.5
"61","England_BellBeaker_1",-0.785,53.5216666666667,3906.16666666667
"62","England_BellBeaker_2",-1.60769230769231,51.2823076923077,4247.53846153846
"63","England_C_EBA_0",-1.624,51.902,4122
"64","England_C_EBA_1",-0.512857142857143,52.5421428571429,3713.71428571429
"65","England_C_EBA_2",-1.39909090909091,52.0263636363636,3992.54545454545
"66","England_EarlyMedieval_Saxon_0",-0.045,52.36375,1335
"67","England_IA_0",-0.677272727272727,53.4281818181818,1854.72727272727
"68","England_LBA_0",-0.836666666666667,52.46,3048.5
"69","England_MBA_0",-0.605833333333333,51.925,3321.41666666667
"70","England_Mesolithic_0",-2.762,51.296,10325.2
"71","England_Mesolithic_1",-2.75,51.32,10546
"72","England_Mesolithic_2",-3.5,50.47,9257
"73","England_N_0",-2.74,51.28,4480
"74","England_N_1",-1.16212121212121,52.1145454545455,5460.27272727273
"75","England_N_2",-1.84142857142857,51.3842857142857,5689.78571428571
"76","England_N_3",-1.3,51.3025,4903.75
"77","England_Viking_0",-1.71636363636364,51.4763636363636,990.757575757576
"78","English_0",0.73,51.19,0
"79","Estonia_BA_0",25.5236363636364,59.3554545454545,3005.09090909091
"80","Estonia_BA_1",25.4633333333333,59.4533333333333,2780.33333333333
"81","Estonia_BA_2",25.0333333333333,59.4566666666667,2532.33333333333
"82","Estonia_CordedWare_0",26.0366666666667,58.7666666666667,4496.33333333333
"83","Estonia_CWC_0",26.73,58.37,4195
"84","Estonia_EarlyViking_0",22.25,58.17,1198.23529411765
"85","Estonia_EMN_0",26.26,58.235,6677
"86","Estonia_IA_0",22.57,58.4933333333333,2185
"87","Estonia_IA_1",24.2125,59.19,2422.25
"88","Estonia_IA_2",25.86,59.4833333333333,2584.66666666667
"89","Estonia_Medieval_0",26.23,58.5428571428571,584.714285714286
"90","Estonia_MN_0",26.58,57.51,5536.5
"91","Estonia_N_0",28.08,59.45,5537
"92","Estonian.DG_0",25.68,58.69,0
"93","Faroes_EarlyModern_0",-6.8,61.85,350
"94","Faroes_Viking_0",-6.96,61.6,900
"95","Finland_Levanluhta_0",22.41,62.95,1400
"96","Finland_Saami_IA_0",22.4,62.9,1388
"97","Finnish_0",24.9,60.2,0
"98","France_Alsace_Lingolsheim_0",7.68,48.55,4289
"99","France_Alsace_Lingolsheim_1",7.68,48.55,6662
"100","France_Alsace_Lingolsheim_2",7.68,48.55,6612.5
"101","France_BellBeaker_0",7.395,47.475,4449
"102","France_BellBeaker_1",6.37,44.48,4025
"103","France_BellBeaker_2",6.495,47.2233333333333,4246
"104","France_BerryAuBac_0",3.54,49.24,7237
"105","France_Chaudardes_0",3.46,49.24,8218
"106","France_EN_0",7.51,43.81,7359
"107","France_EN_1",7.51,43.81,7362
"108","France_EN_2",6.99,43.7,6851.8
"109","France_GrandEst_EBA_0",6.955,48.1075,3764.75
"110","France_GrandEst_EN_0",7.61,48.78,7025
"111","France_GrandEst_IA_0",7.55636363636364,48.3009090909091,2392.72727272727
"112","France_GrandEst_LBA_0",7.4,47.98,1825
"113","France_GrandEst_MN_0",2.835,44.475,6069.75
"114","France_GrandEst_MN_1",5.45,48.29,5445
"115","France_GrandEst_MN_2",7.47,48.5,6615.75
"116","France_HautsDeFrance_EN_0",4.01,49.42,6963
"117","France_HautsDeFrance_IA2_0",3.22,49.4,2187.5
"118","France_HautsDeFrance_LN_0",3.46,49.36,4447
"119","France_HautsDeFrance_MN_0",2.725,50.155,6282.5
"120","France_Iboussieres_0",4.46,44.29,11697
"121","France_LesCloseaux_0",2.11,48.52,9933
"122","France_MN_0",0.53,46.605,6151.5
"123","France_MN_1",3.30193548387097,48.3796774193548,6442.67741935484
"124","France_MN_2",5.76833333333333,47.0466666666667,6702.75
"125","France_MN_3",5.06,43.34,5450
"126","France_MN_4",-0.38,49.19,5972
"127","France_NouvelleAquitaine_0",0.33,45.77,9050
"128","France_Occitanie_EBA_0",2.91666666666667,43.22,4015.66666666667
"129","France_Occitanie_EMBA_0",1.96,43.3,3600
"130","France_Occitanie_IA2_0",3.39,43.32,2354.16666666667
"131","France_Occitanie_LN_0",2.25,43.14,4743
"132","France_Occitanie_MBA_0",3.22,43.25,3584
"133","France_Occitanie_MN_0",3.175,43.23,6271.5
"134","France_Ranchot_0",5.43,47.91,10134
"135","France_Rigney_0",6.1,47.23,15458
"136","France_Rochedane_0",6.45,47.21,13027
"137","French.DG_0",2,46,0
"138","French.SDG_0",2,46,0
"139","Germany_BA.SG_0",10.81,48.17,3543
"140","Germany_BellBeaker_0",12.136,49.1564285714286,4224.25714285714
"141","Germany_BenzigerodeHeimburg_LN_0",10.91,51.82,4148.5
"142","Germany_Blatterhohle_MN_0",7.55,51.36,5448
"143","Germany_Blatterhohle_MN_1",7.55,51.36,5600.5
"144","Germany_Blatterhohle_MN_2",7.55,51.36,5140
"145","Germany_Bockstein_published_0",10.09,48.33,8200
"146","Germany_Brillenhohle_published_lc_0",9.46,48.24,14817
"147","Germany_Burkhardtshohle_published_0",9.35,48.32,14620
"148","Germany_CordedWare_0",11.4884210526316,50.7473684210526,4370.1052631579
"149","Germany_EarlyMedieval_0",11.7714583333333,48.6629166666667,1445.4375
"150","Germany_EBA_Unetice_0",11.57625,51.46375,3962.875
"151","Germany_EN_LBK_0",9.95418918918919,50.2337837837838,7073.37837837838
"152","Germany_Falkenstein_0",9.04,48.06,9161
"153","Germany_HohleFels49_0",9.45,48.22,15452
"154","Germany_HohleFels79_0",9.45,48.22,14691
"155","Germany_LBA_Halberstadt_published_0",11.05,51.9,3024
"156","Germany_Lech_BellBeaker_0",10.8869230769231,48.3146153846154,4264.30769230769
"157","Germany_Lech_EBA_0",10.858064516129,48.2570967741935,3852.22580645161
"158","Germany_Lech_MBA_0",10.85,48.23,3517.84615384615
"159","Germany_LN_0",11.97,52.54,5107
"160","Germany_LN_1",11.97,52.54,5208
"161","Germany_LN_2",11.64,51.365,4397
"162","Germany_Mesolithic_0",12.07,51.3,8600
"163","Germany_Mesolithic_1",11.4,51.31,7548
"164","Germany_Mesolithic_2",11.4,51.31,7550
"165","Germany_MN_0",11.7925,51.5025,5161.25
"166","Germany_MN_1",11.68,51.42,5799
"167","Germany_MN_2",10.1766666666667,51.7266666666667,5450.33333333333
"168","Germany_N_0",11.05,51.9,6400
"169","Germany_Ofnet_published_lc_0",10.27,48.49,8277
"170","Germany_Roman.SG_0",11.41,48.14,1650
"171","Germany_SouthernGermany_0",8.86090909090909,47.7772727272727,3982.54545454545
"172","Germany_SouthernGermany_1",8.87,47.77,3774.75
"173","Germany_SouthernGermany_2",8.87,47.77,2569
"174","Gibraltar_EBA_0",-5.34,36.13,3600
"175","Gibraltar_EN_0",-5.34,36.13,6950
"176","Greece_BA_0",23.025,37.4725,3269.75
"177","Greece_Crete_0",24.17,35.45,3305
"178","Greece_LN_0",21.935,40.09,6348
"179","Greece_Minoan_0",25.32,35.065,3947.5
"180","Greece_N_0",21.65,38.065,8099.5
"181","Greece_Peloponnese_0",22.38,36.64,7360
"182","Greece_Peloponnese_1",22.38,36.64,6500
"183","Greece_Peloponnese_2",22.63,36.9,5843
"184","Greek_0",23.72,37.97,0
"185","Hungarian_0",19.1,47.5,0
"186","Hungary_Avar_0",17.85,46.28,1319.33333333333
"187","Hungary_Baden_0",19.83,47.17,5019
"188","Hungary_C_0",18.0933333333333,46.675,6108.33333333333
"189","Hungary_EarlyC_0",20.488,47.406,6214.6
"190","Hungary_EBA_0",19.26375,47.440625,4215.6875
"191","Hungary_EN_0",19.98,46.9635714285714,7630.64285714286
"192","Hungary_Hunyadihalom_0",19.05,46.33,6010
"193","Hungary_IA_0",19.95,47.82,2849
"194","Hungary_IA_1",20.2975,46.645,2477.75
"195","Hungary_IA_2",20.16,46.34,2328
"196","Hungary_Koros_0",21.53,47.32,7591
"197","Hungary_Langobard_0",17.85,46.28,1441.94444444444
"198","Hungary_LateC_0",19.142,47.3473333333333,5133.26666666667
"199","Hungary_LateC_1",19.435,47.395,5022
"200","Hungary_LateC_2",20,47.19,5620.75
"201","Hungary_LBA_0",20.09,47.73,2858
"202","Hungary_LN_0",19.622,46.764,6704.7
"203","Hungary_LN_1",18.825,46.31,6889
"204","Hungary_LN_2",18.58375,47.04625,6504.25
"205","Hungary_Maros_0",20.3975,46.255,3817.25
"206","Hungary_MBA_0",18.92,47.3366666666667,3700.83333333333
"207","Hungary_Medieval_0",21.02,47.56,703
"208","Hungary_MN_0",20.4368571428571,47.4891428571429,7047.82857142857
"209","Hungary_MN_1",19.05,47.43,6086
"210","Hungary_MN_2",19.4175,46.6383333333333,7214.58333333333
"211","Ibiza_Punic_0",1.3,38.98,2217
"212","Iceland_Early_Christian_0",-19.82,64.12,825
"213","Iceland_Early_Christian_1",-21.91,64.11,236
"214","Iceland_Early_Christian_2",-14.6,65.44,603
"215","Iceland_Pre_Christian_0",-8.38,65.4406666666667,1018.33333333333
"216","Iceland_Pre_Christian_1",-15.15,65.5966666666667,1000
"217","Iceland_Pre_Christian_2",-19.4366666666667,65.2333333333333,918
"218","Iceland_Viking_0",-17.9458823529412,65.6323529411765,876.470588235294
"219","Icelandic_0",-21.93,64.13,0
"220","Ireland_EBA_0",-6.19,55.29,3765.33333333333
"221","Ireland_EN_0",-9.03111111111111,53.03,5639.11111111111
"222","Ireland_LN_0",-8.38,54.06,4746.6
"223","Ireland_Megalithic_0",-8.55636363636364,54.25,5544
"224","Ireland_Mesolithic_1",-8.34,54.3,6001
"225","Ireland_Mesolitic_0",-8.33,52.6,6658
"226","Ireland_MN_0",-8.4737037037037,53.1644444444444,5381.7037037037
"227","Ireland_N_0",-7.17,54.3,4965.5
"228","Ireland_Viking_0",-7.25,53.395,1121.25
"229","IsleOfMan_Viking_0",-4.68,54.08,1050
"230","Italian_North_0",10.3809523809524,44.8571428571429,0
"231","Italy_C_0",13.54,41.96,4836.5
"232","Italy_C_1",8.44,40.81,4056
"233","Italy_C_2",13.29,41.37,7074
"234","Italy_IA_0",12.2066666666667,41.8516666666667,2600
"235","Italy_IA_1",12.8066666666667,42.2166666666667,2794
"236","Italy_IA_2",12.78,41.8,2300
"237","Italy_Imperial_0",12.5585416666667,41.934375,1780.95833333333
"238","Italy_LA_0",12.4433333333333,41.8670833333333,1469.04166666667
"239","Italy_Medieval_0",13.6869230769231,41.6207692307692,885.461538461538
"240","Italy_Medieval_1",12.9082352941176,41.7852941176471,556.764705882353
"241","Italy_Medieval_2",12.75,41.96,300
"242","Italy_Mesolithic_0",13.54,41.96,11868
"243","Italy_Mesolithic_1",13.54,41.96,9086
"244","Italy_Mesolithic_2",13.54,41.96,10706
"245","Italy_N_0",13.54,41.96,7702.8
"246","Italy_N_1",8.44,40.81,5396
"247","Italy_N_2",13.132,43.368,7207.4
"248","Italy_North_BellBeaker_0",10.3166666666667,44.7933333333333,4012
"249","Italy_North_EarlyMedieval_0",7.58,45.08,1345
"250","Italy_North_MN_0",10.83,46.77,5199
"251","Italy_North_Remedello_0",10.38,45.26,5207
"252","Italy_North_Remedello_1",10.38,45.26,3902
"253","Italy_North_Remedello_2",10.38,45.26,4702
"254","Italy_North_Villabruna_0",12.21,46.15,14021
"255","Italy_Sardinia_BA_0",9.225625,39.753125,3145.375
"256","Italy_Sardinia_C_0",8.64,40.62,4663
"257","Italy_Sardinia_C_1",8.65,39.72,5176.5
"258","Italy_Sardinia_C_2",8.47555555555556,40.6766666666667,4215.33333333333
"259","Italy_Sardinia_EarlyMedieval_0",8.91333333333333,40.0733333333333,1042.66666666667
"260","Italy_Sardinia_EBA_0",8.626,40.533,4219.8
"261","Italy_Sardinia_EBA_1",8.88333333333333,40.2877777777778,3997.88888888889
"262","Italy_Sardinia_EBA_2",9.12,40.0042857142857,3682.42857142857
"263","Italy_Sardinia_IA_0",8.80333333333333,39.4733333333333,2723
"264","Italy_Sardinia_IA_1",8.59,39.81,2566
"265","Italy_Sardinia_IA_2",9.03,39.668,2336.6
"266","Italy_Sardinia_LA_0",9.16,39.18,1468.5
"267","Italy_Sardinia_LateC_0",8.6,40.79,4321
"268","Italy_Sardinia_LBA_0",9.10428571428571,39.9528571428571,3088.85714285714
"269","Italy_Sardinia_MBA_0",8.5475,40.44,3418.75
"270","Italy_Sardinia_Medieval_0",8.56,40.73,590.5
"271","Italy_Sardinia_N_0",9.24,39.87,6274
"272","Italy_Sardinia_N_1",8.32,40.63,5438
"273","Italy_Sardinia_N_2",8.676,40.492,6066
"274","Italy_Sardinia_N_3",8.44666666666667,40.5866666666667,5764.83333333333
"275","Italy_Sardinia_Roman_0",8.35,40.57,1764
"276","Italy_Sicily_BellBeaker_0",12.96,37.73,4150
"277","Italy_Sicily_C_0",12.96,37.73,4709
"278","Italy_Sicily_EBA_0",13.818,37.712,4112.8
"279","Italy_Sicily_EBA_1",14.57,36.88,3731
"280","Italy_Sicily_EBA_2",14.2975,37.1375,3876
